Contracts sheet — data dictionary for LLM consumers,,,,,
,,,,,
Domain overview,,,,,
"Each row in 'Contracts' = one real-estate purchase contract (872 total). The buyer pays the total price in up to 4 installments (Вноска 1..4). Each installment is the sum of payments triggered by up to 8 contractual events: ДГ (down payment), ПД (preliminary contract), СМР Банка (construction — bank-financed), СМР Кеш (construction — cash), Доплащане 1, Доплащане 2, Нотариален акт (notary deed), Договор за заем (loan agreement). Not every event occurs for every contract; blanks mean the event did not contribute to that installment. All monetary values are in EUR.",,,,,
,,,,,
Column reference,,,,,
,,,,,
Column,Header (BG),English name,Type,Unit,Description
A,Договор,contract_title,text,,"Contract title. Format: '<buyer>-<building>-<apartment/unit>'. Free-text, uniquely identifies a contract."
B,Контакт,buyer_name,text,,Buyer's full legal name.
C,Търговец,salesperson,text,,Salesperson / broker who closed the deal.
D,Преди/След,pre_or_post_completion,enum,,Whether the contract was signed before ('Преди') or after ('След') building completion.
E,Сграда,building,text,,Name of the building/development the unit is in.
F,Status,status,text,,"Unit composition/status code. Examples: 'А' (apartment only), 'А+Г/ПМ' (apartment + garage or parking)."
G,Обща дължима сума,total_due,number,EUR,Total contract price owed by the buyer.
H,Кредит,uses_credit,enum,,Whether the purchase is financed with a bank loan: 'Да' (yes) or 'Не' (no).
I,Първа вноска,installment_1_due,number,EUR,Total amount due for the first installment of this contract.
J,Първа вноска платено,installment_1_paid,number,EUR,Total amount paid toward the first installment. Equals the sum of the 8 event-amount columns in this block.
K,Първа вноска остава,installment_1_remaining,number,EUR,Remaining unpaid amount for the first installment = installment_1_due − installment_1_paid.
L,ДГ — сума (В1),down_payment_amount_i1,number,EUR,Amount contributed by the 'ДГ' event to the first installment. Initial down payment (deposit) event. Blank = this event did not contribute to this installment.
M,ДГ — дата (В1),down_payment_date_i1,date,yyyy-mm-dd,Date on which the 'ДГ' payment for the first installment was made (or is scheduled). Blank if event did not contribute to this installment.
N,ПД — сума (В1),preliminary_contract_amount_i1,number,EUR,Amount contributed by the 'ПД' event to the first installment. Preliminary contract signing payment. Blank = this event did not contribute to this installment.
O,ПД — дата (В1),preliminary_contract_date_i1,date,yyyy-mm-dd,Date on which the 'ПД' payment for the first installment was made (or is scheduled). Blank if event did not contribute to this installment.
P,СМР Банка — сума (В1),construction_bank_amount_i1,number,EUR,Amount contributed by the 'СМР Банка' event to the first installment. Construction milestone payment funded via bank loan. Blank = this event did not contribute to this installment.
Q,СМР Банка — дата (В1),construction_bank_date_i1,date,yyyy-mm-dd,Date on which the 'СМР Банка' payment for the first installment was made (or is scheduled). Blank if event did not contribute to this installment.
